index,instrument_id
309,USDC-USDT
310,USTC-USDT
311,UTK-USDT
312,VELO-USDT
313,VELODROME-USDT
314,VELA-USDT
315,VRA-USDT
316,VSYS-USDT
317,WAXP-USDT
318,WBTC-USDT
319,WIFI-USDT
320,WIN-USDT
321,WNCG-USDT
322,WOO-USDT
323,WSM-USDT
324,WXT-USDT
325,XAUT-USDT
326,XCH-USDT
327,XEC-USDT
328,XEM-USDT
329,XETA-USDT
330,XLM-USDT
331,XNO-USDT
332,XPR-USDT
333,XTZ-USDT
334,YFI-USDT
335,YFII-USDT
336,YGG-USDT
337,ZBC-USDT
338,ZETA-USDT
339,ZIL-USDT
340,ZRX-USDT
341,BTC-USDC
342,ETH-USDC
343,OKB-USDC
344,MATIC-USDC
345,XRP-USDC
346,SOL-USDC
347,DOGE-USDC
348,FIL-USDC
349,1INCH-USDC
350,AAVE-USDC
351,ADA-USDC
352,AGLD-USDC
353,ALGO-USDC
354,APE-USDC
355,APT-USDC
356,AR-USDC
357,ASTR-USDC
358,ATOM-USDC
359,AVAX-USDC
360,BCH-USDC
361,BLUR-USDC
362,BNB-USDC
363,BSV-USDC
364,CEL-USDC
365,CHZ-USDC
366,COMP-USDC
367,CRO-USDC
368,CRV-USDC
369,CSPR-USDC
370,DOT-USDC
371,DYDX-USDC
372,EGLD-USDC
373,EOS-USDC
374,ETC-USDC
375,ETHW-USDC
376,FLOKI-USDC
377,FLR-USDC
378,FTM-USDC
379,GALA-USDC
380,GRT-USDC
381,HBAR-USDC
382,ICP-USDC
383,KLAY-USDC
384,LINK-USDC
385,LOOKS-USDC
386,LRC-USDC
387,LTC-USDC
388,LUNC-USDC
389,LUNA-USDC
390,MANA-USDC
391,MASK-USDC
392,MINA-USDC
393,MKR-USDC
394,NEAR-USDC
395,OKT-USDC
396,OP-USDC
397,RDNT-USDC
398,RPL-USDC
399,SAND-USDC
400,SHIB-USDC
401,SNX-USDC
402,STORJ-USDC
403,STX-USDC
404,SUSHI-USDC
405,TON-USDC
406,TRX-USDC
407,UNI-USDC
408,USDT-USDC
409,XLM-USDC
410,YFII-USDC
411,YGG-USDC
412,ZIL-USDC
413,BTC-DAI
414,ETH-DAI
415,ETH-BTC
416,OKB-BTC
417,MATIC-BTC
418,XRP-BTC
419,SOL-BTC
420,DOGE-BTC
421,FIL-BTC
422,AAVE-BTC
423,ADA-BTC
424,ATOM-BTC
425,AVAX-BTC
426,BCH-BTC
427,BSV-BTC
428,CHZ-BTC
429,CRO-BTC
430,CRV-BTC
431,DOT-BTC
432,EOS-BTC
433,ETC-BTC
434,GRT-BTC
435,HBAR-BTC
436,LINK-BTC
437,LTC-BTC
438,MANA-BTC
439,MKR-BTC
440,NEAR-BTC
441,NEO-BTC
442,OKT-BTC
443,QTUM-BTC
444,SHIB-BTC
445,STX-BTC
446,TRX-BTC
447,UNI-BTC
448,WBTC-BTC
449,XCH-BTC
450,XLM-BTC
451,OKB-ETH
452,XRP-ETH
453,SOL-ETH
454,DOGE-ETH
455,FIL-ETH
456,ADA-ETH
457,ATOM-ETH
458,BETH-ETH
459,EOS-ETH
460,LINK-ETH
461,LTC-ETH
462,OKT-ETH
463,STETH-ETH
464,TRX-ETH
465,BTC-EURT
466,ETH-EURT
